country,count
United States,3240
India,1057
United Kingdom,638
Pakistan,421
Not Given,287
Canada,271
Japan,259
South Korea,214
France,213
Spain,182
Mexico,138
Egypt,123
Australia,114
Turkey,112
Nigeria,105
Germany,104
China,100
Brazil,88
Taiwan,86
Indonesia,86
